route_id,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal,centroid_lat,centroid_lon,client_id
155,Devon,2001-02-01,7303.0,5146.8,3888.0,182199,41.99942776973685,-87.67911623464911,6
156,LaSalle,2001-02-01,9112.3,0.0,0.0,182247,41.91054481885857,-87.63572922952854,4
157,Streeterville/Taylor,2001-02-01,3279.0,0.0,0.0,65581,41.872754388790035,-87.66236111209965,5
169,69th-UPS Express,2001-02-01,852.6,78.0,0.0,17365,41.74927048829613,-87.7551320397387,3
171,U. of Chicago/Hyde Park,2001-02-01,918.1,271.3,320.2,20728,41.793179976351354,-87.59417782770271,0
172,U. of Chicago/Kenwood,2001-02-01,933.5,75.1,56.8,19198,41.79624544061303,-87.59702345977011,0
201,Central/Ridge,2001-02-01,1314.6,559.2,341.8,29896,42.050306421180274,-87.69875863783346,6
1,Indiana/Hyde Park,2001-03-01,7571.8,0.0,0.0,166579,41.86270845009074,-87.62751832486389,4
2,Hyde Park Express,2001-03-01,862.0,0.0,0.0,18964,41.83797426358696,-87.60603438043478,0
3,King Drive,2001-03-01,23081.6,14786.6,8979.5,617646,41.81207199935107,-87.61900935561324,0
4,Cottage Grove,2001-03-01,24463.9,19493.7,11761.6,682721,41.79346131587302,-87.61174186507937,0
6,Jackson Park Express,2001-03-01,19086.8,12859.5,7180.5,512929,41.81521174333877,-87.59344591789015,0
7,Harrison,2001-03-01,5729.1,0.0,0.0,126040,41.87511370790816,-87.66249154846939,5
8,Halsted,2001-03-01,20442.8,13256.7,9257.3,553054,41.852703962273644,-87.64741231690141,5
8A,South Halsted,2001-03-01,3286.8,2914.5,1586.4,93228,41.71725633639495,-87.64205832721011,2
9,Ashland,2001-03-01,31563.9,23909.9,16119.4,878433,41.847488411901445,-87.66614635704323,5
11,Lincoln/Sedgwick,2001-03-01,3725.6,1875.1,1088.1,95692,41.99252418870968,-87.70289943387097,6
12,Roosevelt,2001-03-01,11387.9,7384.8,5398.4,309052,41.86665699568966,-87.69360280517242,5
18,16th/18th,2001-03-01,1717.8,979.8,710.8,45533,41.8588593442029,-87.72437428623189,5
20,Madison,2001-03-01,22559.6,14278.0,8496.7,601687,41.881294665647296,-87.69337781549439,5
21,Cermak,2001-03-01,7861.8,8240.3,5852.5,237571,41.851482421323055,-87.7081956056519,5
22,Clark,2001-03-01,22534.9,15977.9,11678.0,622370,41.94712498175182,-87.65297887226278,4
24,Wentworth,2001-03-01,4669.2,0.0,0.0,102721,41.81418132816137,-87.63115587509697,0
28,Stony Island,2001-03-01,13173.1,10381.4,6018.0,365786,41.80139024593967,-87.59824213689096,0
29,State,2001-03-01,17732.8,13083.9,9137.5,492091,41.81664578911564,-87.62584710827664,0
30,South Chicago,2001-03-01,4203.3,2201.1,707.4,106308,41.70633345603752,-87.55784333645956,2
34,South Michigan,2001-03-01,8338.0,6218.6,4215.2,231390,41.685294710353865,-87.61780620314549,2
35,35th,2001-03-01,6190.3,3611.6,2076.3,162549,41.83288785258964,-87.68449886155378,5
36,Broadway,2001-03-01,15571.8,14705.2,9019.4,452183,41.93648539526542,-87.64466189454807,4
37,Sedgwick,2001-03-01,2618.1,0.0,0.0,57598,41.90034350930626,-87.63841551776649,4
39,Pershing,2001-03-01,2255.8,0.0,0.0,49629,41.824165926689574,-87.65635449026347,5
43,43rd,2001-03-01,1308.1,722.0,368.7,33863,41.816307030501086,-87.62689561220044,0
44,Wallace-Racine,2001-03-01,6994.1,3150.3,1662.5,176272,41.79913625199203,-87.64913145219123,7
47,47th,2001-03-01,8657.9,6689.2,3835.8,239264,41.80519930159706,-87.68395456142505,7
48,South Damen,2001-03-01,1313.7,0.0,0.0,28902,41.77432695428572,-87.67480585428571,7
49,Western,2001-03-01,24336.2,20586.9,12524.6,688429,41.8634918214649,-87.68599027873856,5
49B,North Western,2001-03-01,5150.2,3373.9,2091.2,138538,41.99245736165577,-87.68971186056645,6
X49,Western Express,2001-03-01,6016.4,0.0,0.0,132360,41.863894052938065,-87.6859992599259,5
50,Damen,2001-03-01,9353.5,4719.6,2918.6,241049,41.91504755564648,-87.67671287397708,4
51,51st,2001-03-01,4966.5,4193.2,2092.8,138600,41.802107210526316,-87.66349260526316,7
52,Kedzie/California,2001-03-01,12226.5,9252.4,5549.4,337442,41.84108998082454,-87.70487544199425,5
52A,South Kedzie,2001-03-01,6445.2,3810.1,2187.6,169595,41.741102609879036,-87.70325261088709,7
53,Pulaski,2001-03-01,22336.2,16071.4,10142.3,612322,41.87115787077949,-87.72562793830762,5
53A,South Pulaski,2001-03-01,9781.8,3558.8,1672.9,239686,41.741355448705654,-87.72179026653883,3
54,Cicero,2001-03-01,12638.4,10284.9,6537.4,355619,41.902075903189065,-87.74587446241458,1
54A,North Cicero/Skokie Blvd.,2001-03-01,1444.6,0.0,0.0,31781,42.010730629310345,-87.74814805555555,6
54B,South Cicero,2001-03-01,5084.5,5160.6,2753.9,148677,41.80321414405987,-87.743139,3
55,Garfield,2001-03-01,13365.0,9828.9,7085.0,371515,41.79341361610738,-87.6622817771812,7
55N,55th/Narragansett,2001-03-01,1138.3,165.4,0.0,25869,41.789007552962296,-87.76397602513465,3
56,Milwaukee,2001-03-01,15492.3,10097.6,7307.1,420547,41.92085398073836,-87.69395108105938,1
57,Laramie,2001-03-01,3156.4,1646.9,684.9,80416,41.89084842175573,-87.75444982633587,1
59,59th/61st,2001-03-01,4569.0,2336.7,0.0,112201,41.786643209703946,-87.65843892845395,7
60,Blue Island/26th,2001-03-01,14751.9,10674.1,6835.8,405256,41.86002097867804,-87.67448119474058,5
62,Archer,2001-03-01,15564.3,8070.4,4971.4,402652,41.831196224383916,-87.68645058819715,5
62H,Archer/Harlem,2001-03-01,1454.0,708.1,0.0,35528,41.789729205,-87.77199206833333,3
63,63rd,2001-03-01,22720.8,17745.8,11882.2,636114,41.77979564413681,-87.66852664820847,7
63W,West 63rd,2001-03-01,2323.6,753.2,427.3,56594,41.77875761893765,-87.77166333949192,3
